Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,60.718189,61.561279,60.530834,60.741608,60.581978,8448067
2022-11-01,61.327087,62.521469,60.460579,61.053864,60.893414,7321940
2022-11-02,60.960186,62.185791,60.327869,60.421547,60.262760,8164582
2022-11-03,60.007805,61.498829,59.773613,61.186573,61.025772,11131250
2022-11-04,62.443405,63.356754,62.006245,63.286495,63.120174,9224609
2022-11-07,63.317722,65.448868,63.286495,65.152222,64.981003,10266703
2022-11-08,65.417641,66.128021,64.519905,65.573769,65.401443,8022647
2022-11-09,64.964874,66.190475,64.715065,64.910225,64.739639,6354144
2022-11-10,66.533958,66.877441,65.690865,66.651054,66.475891,11002637
2022-11-11,66.963310,67.743950,66.471504,67.377052,67.199989,9968486
2022-11-14,67.119438,67.993752,66.877441,67.002342,66.826263,6309950
2022-11-15,67.556595,68.399689,67.306793,68.024979,67.846207,6315330
2022-11-16,67.782982,67.861046,66.081184,66.276344,66.102173,6088849
2022-11-17,65.378609,66.955505,64.957062,66.658859,66.483673,5958828
2022-11-18,67.517563,68.032784,66.237312,66.729118,66.553757,5231860
2022-11-21,66.440285,67.135048,66.143639,67.049179,66.872971,4188101
2022-11-22,67.369240,68.376266,67.135048,68.149879,67.970779,5425035
2022-11-23,67.939110,68.665108,67.868851,68.594849,68.414581,4682952
2022-11-25,68.462135,68.992973,68.188911,68.805618,68.624802,2426342
2022-11-28,68.071815,68.352852,66.479317,66.721313,66.545975,5487676
2022-11-29,66.939888,67.072601,66.323189,66.869637,66.693909,5750409
2022-11-30,66.854019,67.408272,64.941452,67.111633,66.935257,9301085
2022-12-01,67.298988,67.611244,66.252930,66.557381,66.382469,5432337
2022-12-02,66.018738,67.876656,65.893829,67.822014,67.643776,5739392
2022-12-05,67.010147,67.174080,66.057770,66.088989,65.915298,6040427
2022-12-06,67.611244,67.993752,65.940674,66.572990,66.398033,7537276
2022-12-07,66.354408,67.197502,66.213898,66.354408,66.180031,6226429
2022-12-08,66.822792,67.283371,64.551132,65.284935,65.113365,8247590
2022-12-09,65.277130,65.417641,63.489460,63.583138,63.416039,7102248
2022-12-12,63.793911,64.996094,63.255268,64.957062,64.786362,5969716
2022-12-13,66.018738,66.276344,63.957844,64.699455,64.529427,9889320
2022-12-14,64.309135,65.058548,63.497269,63.598751,63.492897,9794014
2022-12-15,62.505856,63.395786,61.280251,61.522247,61.419853,12448758
2022-12-16,60.725994,61.163155,59.867290,60.616707,60.515816,12752227
2022-12-19,60.304451,61.163155,60.265419,60.936768,60.835346,5635375
2022-12-20,60.921154,63.075722,60.772835,62.708820,62.604446,8935872
2022-12-21,63.263077,65.253708,63.208431,64.777519,64.669708,9678724
2022-12-22,64.153008,64.566742,62.669788,63.832943,63.726704,7765422
2022-12-23,63.786106,64.316940,63.200626,63.848557,63.742290,4218845
2022-12-27,64.012489,64.863388,63.934425,64.668228,64.560600,5430800
2022-12-28,64.785324,64.925842,63.466042,63.989071,63.882572,4956830
2022-12-29,64.207649,65.503510,64.012489,65.378609,65.269798,5657408
2022-12-30,64.722870,65.597191,64.621391,65.409836,65.300972,5287584
2023-01-03,65.612801,66.424667,65.214676,66.338799,66.228386,8204933
2023-01-04,68.410004,70.199997,66.750000,70.199997,70.083153,16784600
2023-01-05,69.900002,71.550003,69.000000,71.290001,71.171349,12770200
2023-01-06,72.010002,72.330002,70.750000,71.940002,71.820267,10389500
2023-01-09,72.000000,73.910004,71.959999,72.669998,72.549049,7572900
2023-01-10,72.199997,75.370003,72.199997,75.269997,75.144722,9255500
2023-01-11,75.820000,77.699997,75.510002,77.690002,77.560699,10159300
2023-01-12,77.879997,79.209999,77.290001,78.860001,78.728745,11498700
2023-01-13,78.779999,80.599998,78.500000,80.199997,80.066513,11048200
2023-01-17,79.919998,80.660004,79.760002,80.489998,80.356033,8492200
2023-01-18,80.940002,81.180000,79.139999,79.269997,79.138062,7834300
2023-01-19,77.940002,78.750000,76.669998,76.860001,76.732079,10411700
2023-01-20,77.589996,77.750000,75.669998,77.680000,77.550713,8261300
2023-01-23,77.610001,80.019997,77.540001,79.769997,79.637230,10957500
2023-01-24,78.000000,80.849998,77.470001,80.699997,80.565681,13381800
2023-01-25,79.779999,81.349998,79.430000,80.790001,80.655540,8501500
2023-01-26,81.480003,81.580002,80.120003,81.139999,81.004951,6511200
2023-01-27,81.000000,83.989998,80.900002,83.230003,83.091484,7789500
2023-01-30,82.410004,82.750000,80.669998,80.830002,80.695473,5726900
2023-01-31,80.449997,80.910004,79.470001,80.480003,80.346054,6883500
2023-02-01,80.269997,82.470001,80.010002,82.320000,82.182991,7272300
2023-02-02,82.190002,84.029999,81.900002,83.940002,83.800293,8293000
2023-02-03,83.510002,83.690002,81.820000,81.959999,81.823586,5778200
2023-02-06,81.470001,82.440002,81.239998,82.349998,82.212936,4329700
2023-02-07,81.980003,82.370003,80.540001,82.110001,81.973343,4702300
2023-02-08,81.690002,82.599998,81.300003,81.959999,81.823586,3407400
2023-02-09,82.339996,82.629997,80.440002,80.790001,80.655540,3861400
2023-02-10,80.809998,81.349998,80.400002,81.290001,81.154701,3490100
2023-02-13,81.199997,82.919998,81.080002,82.680000,82.542389,4081600
2023-02-14,82.129997,83.809998,81.959999,83.540001,83.400963,5368500
2023-02-15,82.610001,84.790001,82.440002,84.769997,84.628906,5830500
2023-02-16,83.610001,84.540001,82.980003,84.050003,83.910110,4505900
2023-02-17,83.589996,83.820000,82.230003,83.040001,82.901794,4424200
2023-02-21,82.139999,83.379997,81.809998,82.260002,82.123085,4071800
2023-02-22,82.160004,84.330002,82.099998,83.190002,83.051544,8642500
2023-02-23,83.489998,84.410004,81.900002,82.940002,82.801964,8077200
2023-02-24,81.760002,83.779999,81.650002,83.550003,83.410950,6946800
2023-02-27,84.000000,84.860001,83.489998,83.839996,83.700455,6390500
2023-02-28,83.620003,85.650002,83.459999,84.709999,84.569008,9131000
2023-03-01,84.660004,85.360001,83.750000,84.139999,83.999954,5996000
2023-03-02,83.599998,85.730003,83.379997,85.720001,85.577332,6820700
2023-03-03,85.900002,87.040001,85.150002,86.379997,86.236229,7676600
2023-03-06,86.639999,87.820000,86.470001,87.059998,86.995667,6451800
2023-03-07,86.959999,87.580002,86.099998,86.389999,86.326164,6898200
2023-03-08,86.769997,87.410004,86.070000,86.980003,86.915733,6063900
2023-03-09,89.959999,94.940002,89.769997,91.559998,91.492340,28592300
2023-03-10,91.900002,94.199997,90.790001,91.000000,90.932762,18477800
2023-03-13,89.699997,90.730003,87.660004,88.970001,88.904259,11334000
2023-03-14,91.169998,93.080002,90.199997,91.169998,91.102631,11347500
2023-03-15,88.989998,89.760002,86.449997,89.760002,89.693680,12057300
2023-03-16,89.400002,92.099998,88.570000,91.970001,91.902046,8127600
2023-03-17,91.790001,91.830002,89.349998,90.290001,90.223282,10188100
2023-03-20,90.629997,91.230003,89.410004,89.919998,89.853554,6947600
2023-03-21,90.980003,93.040001,90.959999,92.180000,92.111885,6826800
2023-03-22,92.489998,92.599998,89.550003,89.589996,89.523796,7011000
2023-03-23,90.629997,92.949997,90.529999,91.589996,91.522316,8647000
2023-03-24,90.570000,92.349998,90.320000,91.370003,91.302490,6658400
2023-03-27,92.279999,93.639999,92.110001,93.309998,93.241051,6005200
2023-03-28,93.339996,93.739998,92.559998,93.139999,93.071175,4008900
2023-03-29,93.970001,94.419998,93.669998,94.059998,93.990494,4918000
2023-03-30,93.949997,94.309998,93.559998,94.050003,93.980507,5285800
2023-03-31,94.529999,95.669998,94.309998,95.599998,95.529358,7380200
2023-04-03,95.750000,96.940002,95.360001,96.919998,96.848381,4947700
2023-04-04,96.959999,97.870003,94.669998,95.050003,94.979767,6827600
2023-04-05,94.980003,95.320000,93.660004,94.250000,94.180359,8493400
2023-04-06,94.120003,94.389999,93.540001,93.599998,93.530838,6404900
2023-04-10,93.830002,94.989998,93.610001,94.360001,94.290276,5985500
2023-04-11,94.510002,94.959999,93.879997,93.910004,93.840614,5317700
2023-04-12,94.260002,94.669998,93.809998,94.099998,94.030464,6997700
2023-04-13,94.379997,94.690002,93.470001,94.300003,94.230324,8814600
